trip_id,Departure,Arrival,Duration,Departure_City,Arrival_City
OCESN003100F140147152,Gare de Le Havre,Gare de Paris-St-Lazare,138,Fécamp,Paris
OCESN003190F040047309,Gare de Dieppe,Gare de Paris-St-Lazare,145,Dieppe,Paris
OCESN003198F030037315,Gare de Paris-St-Lazare,Gare de Rouen-Rive-Droite,97,Paris,Rouen
OCESN003300F030037323,Gare de Cherbourg,Gare de Paris-St-Lazare,194,Cherbourg-en-Cotentin,Paris
OCESN003313F380387526,Gare de Caen,Gare de Paris-St-Lazare,149,Caen,Paris
OCESN003371F080087908,Gare de Paris-St-Lazare,Gare de Trouville-Deauville,147,Paris,Deauville
OCESN003410F120128075,Gare de Granville,Gare de Paris-Montp.3-Vaug,201,Granville,Paris
OCESN003460F010018083,Gare de Granville,Gare de Paris-Montparnasse 1-2,195,Granville,Paris
OCESN003463F030038093,Gare de Dreux,Gare de Granville,142,Dreux,Granville
OCESN003903F030038704,Gare de Bourges,Gare de Paris-Austerlitz,122,Bourges,Paris
OCESN003903F040048703,Gare de Paris-Austerlitz,Gare de Vierzon,101,Paris,Vierzon
OCESN003917F090098744,Gare de Bourges,Gare de Paris-Bercy,131,Bourges,Paris
OCESN003917F130138743,Gare de Nevers,Gare de Paris-Austerlitz,177,Nevers,Paris
OCESN003933F010018761,Gare de Bourges,Gare de Nevers,38,Bourges,Nevers
OCESN005900F0500510094,Gare de Nevers,Gare de Paris-Bercy,154,Nevers,Paris
OCESN005905F4304310108,Gare de Nevers,Gare de Paris-Gare-de-Lyon,146,Nevers,Paris
OCESN013272F09009-1367954595,Gare de Argentan,Gare de Paris-Montp.3-Vaug,121,Flers,Paris
OCESN014030F0900915588,Gare de Orléans,Gare de Paris-Austerlitz,75,Orléans,Paris
OCESN014033F0700715600,Gare de Paris-Austerlitz,Gare de Tours,131,Paris,Tours
OCESN014033F0900915597,Gare de Orléans,Gare de Tours,72,Orléans,Tours
OCESN014035F0800815607,Gare de Aubrais-(les),Gare de Paris-Austerlitz,71,Fleury-les-Aubrais,Paris
OCESN014041F1201215628,Gare de Paris-Bercy,Gare de Tours,146,Paris,Tours
OCESN014043F1801815630,Gare de Orléans,Gare de Paris-Bercy,84,Orléans,Paris
OCESN014081F2102115781,Gare de Paris-Austerlitz,Gare de St-Pierre-des-Corps,118,Paris,Saint-Pierre-des-Corps
OCESN016350F0100115870,Gare de Calais Ville,Gare de Paris Gare du Nord,183,Calais,Paris
OCESN016372F0100115902,Gare de Boulogne Ville,Gare de Paris Gare du Nord,145,Fréthun,Paris
OCESN016380F0100115910,Gare de Amiens,Gare de Calais Ville,107,Amiens,Calais
OCESN016380F0300315908,Gare de Boulogne Ville,Gare de Calais Ville,28,Fréthun,Calais
OCESN016442F0100115983,Gare de Amiens,Gare de Boulogne Ville,75,Amiens,Fréthun
OCESN016444F0500515989,Gare de Amiens,Gare de Paris Gare du Nord,74,Amiens,Paris
OCESN016450F0100115993,Gare de Cambrai Ville,Gare de Paris Gare du Nord,155,Villers-Guislain,Paris
OCESN016451F0100115996,Gare de Maubeuge,Gare de Paris Gare du Nord,119,Maubeuge,Paris
OCESN016453F0400416001,Gare de Paris Gare du Nord,Gare de St Quentin,100,Paris,Pontarlier
OCESN016468F0200216048,Gare de Compiègne,Gare de Maubeuge,80,Compiègne,Maubeuge
OCESN016514F0900916097,Gare de Argentan,Gare de Dreux,69,Flers,Dreux
OCESN016550F0200216123,Gare de Caen,Gare de Le Mans,111,Caen,Le Mans
OCESN016550F0400416121,Gare de Caen,Gare de Tours,182,Caen,Tours
OCESN016750F0900916155,Gare de Le Mans,Gare de Paris-Montparnasse 1-2,135,Le Mans,Paris
OCESN016765F1401416187,Gare de Nogent-le-Rotrou,Gare de Paris-Montparnasse 1-2,102,Nogent-le-Rotrou,Paris
OCESN016766F1801816197,Gare de Chartres,Gare de Paris-Montparnasse 1-2,70,Chartres,Paris
OCESN016782F1501516255,Gare de Chartres,Gare de Le Mans,70,Chartres,Le Mans
OCESN016812F1601616283,Gare de Blois-Chambord,Gare de Tours,38,Blois,Tours
OCESN016840F1201216363,Gare de Lyon-Perrache,Gare de Tours,366,Lyon,Tours
OCESN016840F1601616364,Gare de Lyon-Perrache,Gare de Nevers,211,Lyon,Nevers
OCESN017301F0200216375,Gare de Latour-de-Carol-Enveitg,Gare de Villefranche-Vernet-l.B,174,Enveitg,Prades
OCESN017303F0200216376,Gare de Font-Romeu-Odeillo-Via,Gare de Villefranche-Vernet-l.B,88,Font-Romeu-Odeillo-Via,Prades
OCESN017350F0300316385,Gare de Briançon,Gare de Romans-Bourg-de-Péage,241,La Léchère,Romans-sur-Isère
OCESN017352F0800816391,Gare de Briançon,Gare de Veynes-Dévoluy,97,La Léchère,Veynes
OCESN017354F0200216399,Gare de Romans-Bourg-de-Péage,Gare de Veynes-Dévoluy,153,Romans-sur-Isère,Veynes
OCESN017369F0700716416,Gare de Gap,Gare de Romans-Bourg-de-Péage,172,Gap,Romans-sur-Isère
OCESN017369F1001016420,Gare de Briançon,Gare de Gap,75,La Léchère,Gap
OCESN017370F0200216422,Gare de Briançon,Gare de Valence-Ville,247,La Léchère,Valence
OCESN017402F2102116431,Gare de Briançon,Gare de Marseille-St-Charles,302,La Léchère,Marseille
OCESN017408F1001016439,Gare de Gap,Gare de Marseille-St-Charles,216,Gap,Marseille
OCESN017421F2402416443,Gare de Aix-en-Provence,Gare de Marseille-St-Charles,50,Aix-en-Provence,Marseille
OCESN017473F0300316464,Gare de Marseille-St-Charles,Gare de Nice-Ville,159,Marseille,Nice
OCESN017473F0400416463,Gare de Les Arcs-Draguignan,Gare de Marseille-St-Charles,83,Les Arcs,Marseille
OCESN017500F0200216492,Gare de Grenoble,Gare de Valence-Ville,74,Gières,Valence
OCESN017503F0300316493,Gare de Chambéry-Chal.-les-Eaux,Gare de Valence-Ville,125,Chambéry,Valence
OCESN017506F0700716496,Gare de Annecy,Gare de Valence-Ville,181,Annecy,Valence
OCESN017516F0500516499,Gare de Annecy,Gare de Chambéry-Chal.-les-Eaux,53,Annecy,Chambéry
OCESN017532F0900916508,Gare de Annecy,Gare de Avignon-Centre,277,Annecy,Morières-lès-Avignon
OCESN017544F0800816517,Gare de Annecy,Gare de Grenoble,103,Annecy,Gières
OCESN017600F0300316547,Gare de Grenoble,Gare de Lyon-Part-Dieu,82,Gières,Lyon
OCESN017702F1301316607,Gare de Avignon-Centre,Gare de Lyon-Part-Dieu,141,Morières-lès-Avignon,Lyon
OCESN017704F2702716611,Gare de Lyon-Part-Dieu,Gare de Marseille-St-Charles,246,Lyon,Marseille
OCESN017714F1501516644,Gare de Avignon-Centre,Gare de Marseille-St-Charles,78,Morières-lès-Avignon,Marseille
OCESN017750F1401416694,Gare de Dijon-Ville,Gare de Paris-Bercy,171,Dijon,Paris
OCESN017750F2702716692,Gare de Dijon-Ville,Gare de Paris-Gare-de-Lyon,170,Dijon,Paris
