ID,Departure,Arrival,Duration,Departure_City,Arrival_City
688ec0e2-38a6-412c-97bc-bb791f3f98ec,St-Ay,Villeperdue,41,SAINT-AY,VILLEPERDUE
cf920ba6-2d25-4a16-9ca8-515ed66c2f7b,St-Ay,Ste-Maure-Noyant,44,SAINT-AY,NOYANT-DE-TOURAINE
9be09660-6158-4cb3-a02f-828cb3653819,St-Ay,Maillé,47,SAINT-AY,MAILLE
69c6369d-c233-49a3-9079-dac3b3c39846,St-Ay,Port-de-Piles,48,SAINT-AY,LA CELLE-SAINT-AVANT
bc5eaac8-118b-4c91-9615-600bf96d2f8d,St-Ay,Les Ormes-sur-Vienne,50,SAINT-AY,LES ORMES
e3bb8565-035d-4a6b-aa70-b256ae303296,St-Ay,Dangé,51,SAINT-AY,DANGE-SAINT-ROMAIN
2d1cee20-42a2-4e09-9ee4-5d3c7279947d,St-Ay,Ingrandes-sur-Vienne,53,SAINT-AY,INGRANDES
487f5e50-7cf1-40c8-a958-5660e7dfed50,St-Ay,Châtellerault,56,SAINT-AY,CHATELLERAULT
fcf5695a-e75f-497b-8dd9-fe87a8c77351,St-Ay,Nerpuy,57,SAINT-AY,NAINTRE
ab6d9877-513e-43df-812d-d5dbbdee696f,St-Ay,Naintré-les-Barres,58,SAINT-AY,NAINTRE
981af6cc-8462-416a-8e48-77f4165a82b3,St-Ay,La Tricherie,60,SAINT-AY,BEAUMONT SAINT-CYR
b94a37cd-77d9-4fda-8f5a-110967bbdc74,St-Ay,Dissay,61,SAINT-AY,DISSAY
349289b0-e622-48ce-aec7-af7a74c78e3b,St-Ay,Jaunay-Clan,63,SAINT-AY,JAUNAY-MARIGNY
c5cdbd2e-6ef6-49f8-aa8d-1aa77cd55051,St-Ay,Futuroscope,63,SAINT-AY,CHASSENEUIL-DU-POITOU
fa4cf948-3c4a-40c3-bd8e-68f9bfe87a3d,St-Ay,Chasseneuil (Vienne),64,SAINT-AY,CHASSENEUIL-DU-POITOU
06e97c1c-f1c3-4c5f-9b0c-e06dd05dd330,St-Ay,Poitiers,67,SAINT-AY,POITIERS
ec528a1b-9150-4baa-83f1-cd2d0ecac801,St-Ay,Ligugé,69,SAINT-AY,LIGUGE
3b919be8-7e6a-4f20-bdc9-f2266c3c62e3,St-Ay,Iteuil,71,SAINT-AY,ITEUIL
8672faa7-11d3-4651-affa-646807d915b6,St-Ay,Vivonne,73,SAINT-AY,VIVONNE
3a930047-b000-43f0-b607-b31342733e3a,St-Ay,Anché-Voulon,76,SAINT-AY,ANCHE
679bcd16-3d5e-4552-9983-1ad42e13f497,St-Ay,Couhé-Vérac,78,SAINT-AY,VALENCE-EN-POITOU
c49f28f9-a44f-40c1-9bd5-197d273a04d5,St-Ay,Épanvilliers,81,SAINT-AY,BLANZAY
c7421dad-68d1-4db8-abcf-dbd08d86cd63,St-Ay,St-Saviol,84,SAINT-AY,SAINT-SAVIOL
6ceed2a1-8db5-438f-88bd-cbdd5a8ba2bb,St-Ay,Ruffec,89,SAINT-AY,RUFFEC
cd75085b-4990-4bd9-9843-6d667ccb4577,St-Ay,Luxé,95,SAINT-AY,LUXE
d88327d8-61a1-4f04-9da8-26bdde7adc08,St-Ay,Angoulême,104,SAINT-AY,ANGOULEME
e2fdd839-3b3a-4daf-bd5f-ea6f6340bd7c,St-Ay,La Couronne,107,SAINT-AY,LA COURONNE
22a4bb5c-ab90-440a-8c95-977e9ba18ad9,St-Ay,Charmant,111,SAINT-AY,BOISNE-LA TUDE
01785eae-9837-43c4-acb8-7f9825ee056c,St-Ay,Montmoreau,116,SAINT-AY,MONTMOREAU
29b7d045-4ecb-4a57-945c-9fee6a9de6b2,St-Ay,Chalais,121,SAINT-AY,CHALAIS
be06df9d-3151-4335-9126-4a89ff90054a,St-Ay,St-Aigulin-La Roche-Chalais,126,SAINT-AY,SAINT-AIGULIN
43af80d7-00d7-4c8f-875f-dbf50d4bf884,St-Ay,Les Églisottes,128,SAINT-AY,LES EGLISOTTES-ET-CHALAURES
239488e5-ab8f-4003-a3fd-30115c5d9f2e,St-Ay,Coutras,132,SAINT-AY,COUTRAS
2d90f5b8-bba6-4200-82fc-e022b5bf284a,St-Ay,St-Denis-de-Pile,134,SAINT-AY,SAINT-DENIS-DE-PILE
7528e884-09af-44b7-a38f-f18ec81267c7,St-Ay,Libourne,137,SAINT-AY,LIBOURNE
881bd3d7-7050-4ecb-82f2-bbfc3b944d8d,St-Ay,Vayres,140,SAINT-AY,VAYRES
23d51683-c2f6-4315-b0ac-63aa7426df7d,St-Ay,St-Sulpice-Izon,142,SAINT-AY,SAINT-SULPICE-ET-CAMEYRAC
620f7a0a-83d7-45c1-a867-249ac1f3c8a2,St-Ay,St-Loubès,143,SAINT-AY,SAINT-LOUBES
f5a470f3-2d06-41b2-b475-d6a50c9bdea5,St-Ay,La Gorp,145,SAINT-AY,AMBARES-ET-LAGRAVE
c973da18-6f26-4e0a-ab7f-d93ca7e89839,St-Ay,Bassens,146,SAINT-AY,BASSENS
10580d03-2265-42c0-9b0e-dfe41d5df90e,St-Ay,Bassens-Appontements,146,SAINT-AY,BASSENS
d61afc1b-491f-4291-af60-d5e3bd71dbf3,St-Ay,Cenon,148,SAINT-AY,CENON
7c6bf2fb-1ace-441d-b346-1e07df753fbd,St-Ay,Bordeaux-St-Jean,149,SAINT-AY,BORDEAUX
01a3e04f-7695-4ab5-8184-a2990bda45c9,Meung-sur-Loire,La Chaussée-St-Victor,11,MEUNG-SUR-LOIRE,LA CHAUSSEE-SAINT-VICTOR
a7ed398a-6f15-4ade-b5cb-46d80a03b62b,Meung-sur-Loire,Blois-Chambord,13,MEUNG-SUR-LOIRE,BLOIS
41debfd5-f7d6-45a3-a93b-63c2552f5cc6,Meung-sur-Loire,Chouzy,16,MEUNG-SUR-LOIRE,VALLOIRE-SUR-CISSE
ef521053-f906-4b7b-a046-b11b135ab86a,Meung-sur-Loire,Onzain-Chaumont-sur-Loire,18,MEUNG-SUR-LOIRE,VEUZAIN-SUR-LOIRE
1fc772d6-cd87-4ab2-927e-7d849aff3b70,Meung-sur-Loire,Veuves-Monteaux,19,MEUNG-SUR-LOIRE,VEUZAIN-SUR-LOIRE
08fe7615-c11f-446b-bac4-7981c076b00d,Meung-sur-Loire,Limeray,21,MEUNG-SUR-LOIRE,LIMERAY
b881a9d2-efa6-4ffe-9616-5e1a75bd6b3d,Meung-sur-Loire,Amboise,23,MEUNG-SUR-LOIRE,AMBOISE
50610a85-6b90-406f-ae8e-db8344b65dd0,Meung-sur-Loire,Noizay,26,MEUNG-SUR-LOIRE,NOIZAY
04ff1d45-0c72-4d33-9495-42b6264ba770,Meung-sur-Loire,Montlouis,28,MEUNG-SUR-LOIRE,MONTLOUIS-SUR-LOIRE
8c005ddd-d0cf-4c28-a213-1111398d2f3f,Meung-sur-Loire,St-Pierre-des-Corps,30,MEUNG-SUR-LOIRE,SAINT-PIERRE-DES-CORPS
ea968237-6fd5-464c-8f01-03982330ef3e,Meung-sur-Loire,Monts,36,MEUNG-SUR-LOIRE,MONTS
7feac773-665b-430f-899f-461e59209855,Meung-sur-Loire,Villeperdue,39,MEUNG-SUR-LOIRE,VILLEPERDUE
653c4a12-cd16-402d-9297-f9975c93a715,Meung-sur-Loire,Ste-Maure-Noyant,42,MEUNG-SUR-LOIRE,NOYANT-DE-TOURAINE
26e7afab-c128-416a-ae63-608cd4b9cf5b,Meung-sur-Loire,Maillé,45,MEUNG-SUR-LOIRE,MAILLE
6933996e-a665-4e6e-af58-9a8d4fbb456d,Meung-sur-Loire,Port-de-Piles,46,MEUNG-SUR-LOIRE,LA CELLE-SAINT-AVANT
4263afac-57ad-45d3-8113-dac227444fb4,Meung-sur-Loire,Les Ormes-sur-Vienne,48,MEUNG-SUR-LOIRE,LES ORMES
